key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
24238194,7.5,2015-05-07 19:52:06 UTC,-73.99981689,40.73835373,-73.99951172,40.72321701,1
27835199,7.7,2009-07-17 20:04:56 UTC,-73.994355,40.728225,-73.99471,40.750325,1
44984355,12.9,2009-08-24 21:45:00 UTC,-74.005043,40.74077,-73.962565,40.772647,1
25894730,5.3,2009-06-26 08:22:21 UTC,-73.976124,40.790844,-73.965316,40.803349,3
17610152,16,2014-08-28 17:47:00 UTC,-73.925023,40.744085,-73.973082,40.761247,5
44470845,4.9,2011-02-12 02:27:09 UTC,-73.969019,40.75591,-73.969019,40.75591,1
48725865,24.5,2014-10-12 07:04:00 UTC,-73.961447,40.693965,-73.871195,40.774297,5
44195482,2.5,2012-12-11 13:52:00 UTC,0,0,0,0,1
15822268,9.7,2012-02-17 09:32:00 UTC,-73.975187,40.745767,-74.00272,40.743537,1
50611056,12.5,2012-03-29 19:06:00 UTC,-74.001065,40.741787,-73.96304,40.775012,1
2205147,6.5,2015-05-22 17:32:27 UTC,-73.97438812,40.74695206,-73.98858643,40.72980499,1
6379048,8.5,2011-05-23 22:15:00 UTC,0,0,0,0,1
31892535,3.3,2011-05-17 14:03:00 UTC,-73.966378,40.80444,-73.96589,40.807133,5
13012786,10.9,2011-06-25 11:19:00 UTC,-73.953352,40.767382,-73.97251,40.796137,1
48411337,6.9,2010-04-06 22:20:27 UTC,-73.97337,40.755193,-73.978265,40.766375,1
46272151,9.7,2012-02-21 09:33:00 UTC,-73.990718,40.75192,-73.973053,40.74423,2
11875730,4.9,2011-09-01 09:21:40 UTC,-73.988908,40.756982,-73.981246,40.76005,1
1728270,10.5,2011-03-19 23:58:27 UTC,-74.005665,40.741138,-73.97783,40.749338,2
49173512,12,2015-03-25 08:58:35 UTC,-73.96253204,40.76718903,-73.97445679,40.75386047,1
33157445,4.9,2009-08-08 00:20:00 UTC,-73.992075,40.719633,-73.985323,40.727405,1
55085966,10.5,2014-02-18 14:26:00 UTC,-73.980022,40.74599,-74.003432,40.759667,1
9843493,5,2015-03-03 23:15:03 UTC,-73.98918915,40.72914124,-73.9872818,40.72063446,2
47537124,4.1,2009-11-26 02:58:00 UTC,-74.010798,40.726085,-74.009767,40.737402,2
25121708,7.7,2010-09-04 16:12:00 UTC,-73.9943,40.739512,-73.98807,40.724482,2
37339061,12.9,2010-05-12 22:32:00 UTC,-73.972987,40.76404,-74.00782,40.714993,5
49393874,9.5,2009-02-12 17:52:18 UTC,-73.986059,40.757159,-73.97613,40.780589,1
38755863,5,2014-01-21 06:55:00 UTC,-73.957802,40.776372,-73.957422,40.78287,1
41229643,12,2012-11-21 17:37:19 UTC,-73.993909,40.741551,-73.987874,40.770232,1
46387690,4.9,2009-05-06 20:06:23 UTC,-73.97778,40.763656,-73.989486,40.772966,1
45740211,7.3,2011-12-24 02:52:00 UTC,-73.971075,40.787833,-73.944957,40.784302,5
31945670,25.7,2011-05-21 09:00:00 UTC,-73.944815,40.834367,-73.989332,40.72192,4
11844693,7.7,2009-02-28 15:54:57 UTC,-74.004184,40.712975,-73.988385,40.725102,1
33836728,10.5,2013-02-11 19:09:00 UTC,-73.982085,40.771387,-73.95961,40.769445,1
17967628,11,2013-09-10 20:50:25 UTC,-73.991186,40.741393,-74.00971,40.716455,2
19277743,39.5,2014-06-04 06:49:00 UTC,-73.78808,40.642187,-73.865042,40.725997,4
45314451,8.1,2009-06-05 05:35:00 UTC,-73.98869,40.751273,-73.95881,40.764643,3
18779733,5.7,2011-02-19 16:31:00 UTC,-74.010863,40.710813,-74.001205,40.718745,1
28150703,6.9,2011-08-31 19:47:00 UTC,-73.968697,40.754998,-73.987302,40.73594,1
14631620,7.7,2010-05-18 21:28:00 UTC,-73.96837,40.759005,-73.979105,40.77757,3
38703737,29,2014-02-13 17:57:00 UTC,-73.9926,40.753172,-73.908508,40.816192,1
51671648,15.7,2010-04-01 14:42:00 UTC,-73.97336,40.786952,-73.97281,40.743548,1
16649523,9,2014-04-02 14:58:32 UTC,-73.970164,40.765016,-73.962801,40.77478,1
5218851,4.9,2011-02-01 15:25:03 UTC,-73.987139,40.753038,-73.977794,40.751834,1
4147756,5.4,2009-01-10 22:43:36 UTC,-73.994222,40.751229,-73.998331,40.744342,1
15145716,3.3,2012-07-12 00:59:02 UTC,-73.982371,40.765501,-73.985248,40.762808,1
41369172,8.9,2009-02-19 08:28:42 UTC,-73.977137,40.779272,-73.970457,40.757972,1
37192633,17,2014-01-16 14:58:09 UTC,-73.9939,40.751714,-73.958575,40.76039,1
21695280,12,2015-01-04 09:17:47 UTC,-73.97952271,40.72731018,-73.98487854,40.76065063,1
22405517,56.8,2013-01-03 22:24:41 UTC,-73.993498,40.764686,-73.993498,40.764686,1
54858310,13.5,2013-05-23 10:57:00 UTC,-73.962043,40.805372,-73.988447,40.77014,1
33899076,7.7,2009-10-03 18:25:00 UTC,-73.983052,40.776055,-73.974093,40.763797,1
29966903,13.3,2011-08-15 13:55:53 UTC,-73.9859,40.7277,-73.9825,40.7719,1
26382712,14.9,2012-05-25 03:19:00 UTC,-73.997385,40.720822,-73.955628,40.782252,1
11666085,7.5,2012-12-09 02:12:29 UTC,-73.937809,40.850558,-73.944454,40.834959,1
9716818,16.9,2009-04-09 11:27:00 UTC,-73.986593,40.759143,-74.001767,40.72012,1
38092793,11,2014-11-13 20:12:25 UTC,-73.958903,40.815239,-73.980862,40.78261,1
1239488,6.5,2010-03-05 22:41:05 UTC,-73.990305,40.756175,-74.003678,40.759173,1
23077019,6.5,2009-01-09 14:24:24 UTC,-73.968111,40.765625,-73.980863,40.75916,1
6922345,5.3,2009-07-10 01:01:00 UTC,-73.98973,40.734507,-74.001847,40.740387,1
6479703,4.1,2009-02-02 16:58:00 UTC,-73.954332,40.77406,-73.952558,40.766325,2
48399259,9,2015-06-17 17:52:03 UTC,-73.97213745,40.74988937,-73.9818573,40.73242569,1
14960347,17.3,2011-10-30 11:34:39 UTC,-73.975307,40.757499,-74.010737,40.711715,3
1347588,6.5,2011-06-22 06:20:00 UTC,-73.997925,40.749805,-74.003443,40.754337,2
22364180,20,2013-10-19 20:21:00 UTC,-73.977453,40.785215,-73.98595,40.734955,1
44856422,13,2014-08-22 14:58:01 UTC,-73.993619,40.749808,-73.992512,40.756546,2
21993993,6,2014-05-05 19:27:00 UTC,0,0,0,0,1
3045866,5.5,2013-01-02 19:16:00 UTC,-73.968242,40.762112,-73.979687,40.765432,1
23460451,15.5,2012-12-22 15:35:00 UTC,-73.989945,40.73399,-73.95831,40.780797,1
53705359,8.5,2015-02-16 11:19:55 UTC,-73.99765015,40.73622131,-73.98181152,40.76134872,2
45517946,7.5,2013-02-01 20:56:22 UTC,-73.997933,40.756223,-73.981529,40.742386,1
9514003,6.9,2009-05-20 10:23:00 UTC,-73.949458,40.773348,-73.964993,40.76659,5
53475676,21,2015-05-17 14:56:39 UTC,-73.95431519,40.76970291,-73.99013519,40.75743866,1
28370429,4.1,2012-06-28 20:10:44 UTC,-73.994554,40.721011,-73.989079,40.722964,2
48832443,5.7,2011-12-10 01:43:00 UTC,-73.990968,40.72757,-73.99137,40.74472,1
11835345,19.3,2009-03-11 09:31:02 UTC,-74.013173,40.704148,-73.984285,40.754962,1
41669619,17.3,2010-12-11 04:25:12 UTC,-73.995721,40.767201,-73.951222,40.723918,4
50958489,12,2014-04-15 09:19:00 UTC,-74.010142,40.719717,-74.013625,40.702315,1
39891441,11.3,2012-04-05 20:21:06 UTC,-73.981496,40.768334,-73.956104,40.804763,1
21255889,9.7,2010-04-25 20:11:00 UTC,-73.94984,40.796042,-73.962738,40.759112,3
45550385,4.9,2012-05-02 19:12:40 UTC,-73.986989,40.7208,-73.976607,40.722857,1
29152955,11,2015-05-28 13:31:03 UTC,-73.96671295,40.80403519,-73.93840027,40.79726791,1
26348645,3.5,2015-05-21 01:35:16 UTC,-73.97534943,40.752491,-73.97386169,40.74888992,2
781560,26.1,2012-06-24 01:35:45 UTC,-73.976132,40.744211,-73.90495,40.876687,2
9404760,8.1,2010-10-16 21:23:00 UTC,-73.982543,40.731653,-73.954875,40.768787,5
25485719,49.57,2009-08-07 10:43:07 UTC,-73.975058,40.78882,-73.975058,40.78882,1
11536406,7.7,2010-09-08 10:16:01 UTC,-73.987383,40.721255,-73.954733,40.730683,1
19137375,5.3,2012-04-05 18:10:00 UTC,-73.971503,40.760135,-73.961437,40.768975,1
11267091,4.5,2010-09-22 12:15:00 UTC,-73.98192,40.761172,-74.016152,40.704765,1
30869427,7.3,2010-01-23 03:24:00 UTC,-74.008325,40.725947,-73.988232,40.720322,1
226870,6.5,2013-02-15 18:49:00 UTC,-73.992605,40.733957,-73.980698,40.742135,1
46728985,5.3,2012-08-12 18:48:00 UTC,-73.986465,40.755052,-73.996115,40.744817,3
10442368,9.3,2010-03-12 12:07:38 UTC,-73.95771,40.765555,-73.970059,40.762758,1
1454546,6.1,2011-12-02 14:07:00 UTC,0,0,0,0,1
51116974,3.7,2009-04-14 11:49:40 UTC,-73.976459,40.744077,-73.983699,40.734203,1
46652271,4,2014-04-27 13:02:13 UTC,-73.950582,40.786452,-73.9575,40.776686,1
25431833,9.5,2015-04-11 08:47:47 UTC,-73.9784317,40.75239944,-74.00042725,40.74211884,1
44792012,4.5,2011-10-03 20:29:00 UTC,-73.990055,40.756413,-73.983047,40.756727,3
18571020,3.3,2010-04-26 03:12:44 UTC,-73.982326,40.731314,-73.989649,40.734398,1
